colonne,min_fin_fenetre,id_joueur,date_match,moment,mean,std,skewness,kurtosis,RMS,IQR,Q10,Q25,median,Q75,Q90,prop_sup_seuil
ACC X,5,joueur_03,match_20220807,MT1,-0.0584722,0.341141,0.184296,7.95636,0.346116,0.989833,-0.383867,-0.217375,-0.0663661,0.0862347,0.285548,
ACC Y,5,joueur_03,match_20220807,MT1,-0.938698,0.659728,-0.164145,1.33053,1.14734,2.45584,-1.80109,-1.18871,-0.921902,-0.73123,0.010234,
ACC Z,5,joueur_03,match_20220807,MT1,-0.351459,0.326833,-1.1734,5.10326,0.479941,0.96379,-0.747909,-0.503403,-0.287915,-0.160748,-0.0416647,
GYRO X,5,joueur_03,match_20220807,MT1,6.08046,40.0508,0.164581,8.08986,40.5097,112.345,-31.3493,-10.0407,5.96973,22.7142,41.4473,
GYRO Y,5,joueur_03,match_20220807,MT1,3.50493,88.5387,-0.168496,2.58155,88.608,310.433,-106.464,-31.9518,3.65462,43.6636,108.295,
GYRO Z,5,joueur_03,match_20220807,MT1,4.42972,53.0943,-0.160771,8.56123,53.2788,159.693,-48.5988,-16.0649,4.13004,26.9568,57.0287,
NormeGradAcc,5,joueur_03,match_20220807,MT1,0.0479428,0.0534117,1.87917,4.00297,0.0717727,0.158739,0.00511511,0.0108092,0.0258461,0.0675739,0.125558,0.22128851540616246
NormeGradGyro,5,joueur_03,match_20220807,MT1,5.08053,5.78091,2.63864,9.93962,7.69614,16.0746,0.838634,1.48075,2.80717,6.72957,11.9781,
ACC X,10,joueur_03,match_20220807,MT1,-0.0721044,0.28638,-0.522318,9.5305,0.295318,0.854649,-0.35646,-0.20561,-0.0675842,0.0548643,0.201261,
ACC Y,10,joueur_03,match_20220807,MT1,-0.904007,0.603359,-0.13271,2.24161,1.08686,2.25895,-1.5153,-1.12419,-0.92943,-0.746705,-0.0383534,
ACC Z,10,joueur_03,match_20220807,MT1,-0.33736,0.300519,-1.17359,3.37515,0.4518,0.980431,-0.768801,-0.449023,-0.263969,-0.166579,-0.0706749,
GYRO X,10,joueur_03,match_20220807,MT1,5.75124,39.2005,0.287364,9.2358,39.6202,112.959,-32.4703,-10.8501,4.99476,21.6658,43.2304,
GYRO Y,10,joueur_03,match_20220807,MT1,2.22287,80.0342,-0.090235,3.80502,80.065,281.586,-81.3109,-25.8159,2.66268,31.714,82.8541,
GYRO Z,10,joueur_03,match_20220807,MT1,3.97901,43.6763,-0.132435,6.3265,43.8572,139.391,-37.1314,-12.6587,3.78087,21.8827,45.7512,
NormeGradAcc,10,joueur_03,match_20220807,MT1,0.0364188,0.045666,2.18176,5.2634,0.0584099,0.138079,0.00391714,0.00796547,0.0177963,0.0438172,0.10243,0.15603641456582634
NormeGradGyro,10,joueur_03,match_20220807,MT1,4.04826,5.01246,3.06185,13.2332,6.44307,13.3705,0.671858,1.21274,2.18096,4.68379,10.0167,
ACC X,15,joueur_03,match_20220807,MT1,-0.10369,0.342809,-0.298953,10.3836,0.358147,0.977205,-0.411789,-0.248707,-0.105298,0.037827,0.211804,
ACC Y,15,joueur_03,match_20220807,MT1,-0.893624,0.644484,-0.127035,1.3441,1.10178,2.38347,-1.68512,-1.15624,-0.902812,-0.702165,0.0766569,
ACC Z,15,joueur_03,match_20220807,MT1,-0.358438,0.325261,-1.06123,4.17598,0.484017,1.00935,-0.792483,-0.510323,-0.285401,-0.166204,-0.0446588,
GYRO X,15,joueur_03,match_20220807,MT1,5.83798,41.2596,0.356283,7.73146,41.6705,122.632,-34.2366,-11.0367,5.05775,22.9148,44.9657,
GYRO Y,15,joueur_03,match_20220807,MT1,2.50707,85.8609,0.205177,2.19231,85.8975,308.684,-103.219,-34.7491,1.48302,38.6962,107.172,
GYRO Z,15,joueur_03,match_20220807,MT1,4.39167,49.1506,0.150536,4.77879,49.3464,161.873,-45.8292,-17.5809,3.72455,25.7233,56.3778,
NormeGradAcc,15,joueur_03,match_20220807,MT1,0.0430684,0.0475237,1.80408,3.473,0.0641357,0.141142,0.00539327,0.0100366,0.0227818,0.0621547,0.113369,0.20106442577030811
NormeGradGyro,15,joueur_03,match_20220807,MT1,4.48817,4.68285,2.20018,7.22375,6.48635,13.3273,0.83865,1.40284,2.52015,6.20951,10.8499,
ACC X,20,joueur_03,match_20220807,MT1,-0.0768824,0.290115,-0.422508,9.3034,0.30013,0.873952,-0.359672,-0.201779,-0.0737842,0.054576,0.211298,
ACC Y,20,joueur_03,match_20220807,MT1,-0.858104,0.659902,0.053142,0.829442,1.0825,2.44662,-1.62053,-1.12506,-0.91666,-0.673886,0.220514,
ACC Z,20,joueur_03,match_20220807,MT1,-0.355323,0.312765,-0.916135,2.54352,0.473367,0.986755,-0.834704,-0.506255,-0.277501,-0.163314,-0.0561954,
GYRO X,20,joueur_03,match_20220807,MT1,5.85033,38.3427,0.275472,8.73327,38.7864,112.197,-31.2969,-9.70776,5.50661,22.1002,41.3429,
GYRO Y,20,joueur_03,match_20220807,MT1,3.58758,80.3323,0.0745526,3.46596,80.4123,294.683,-80.2896,-25.8379,1.96187,30.7672,89.3353,
GYRO Z,20,joueur_03,match_20220807,MT1,4.66539,42.9688,0.268289,6.00605,43.2213,142.67,-37.6521,-12.6044,3.56397,21.328,48.053,
NormeGradAcc,20,joueur_03,match_20220807,MT1,0.0379614,0.0450714,2.10383,5.3602,0.0589279,0.132867,0.00437048,0.00827424,0.0190671,0.0520856,0.100742,0.16949579831932773
NormeGradGyro,20,joueur_03,match_20220807,MT1,4.0577,4.87824,3.31138,17.5539,6.34525,12.3104,0.699387,1.16578,2.19515,5.23677,9.79899,
ACC X,25,joueur_03,match_20220807,MT1,-0.0648649,0.179382,0.118306,7.18361,0.19075,0.513532,-0.258718,-0.16217,-0.0615654,0.0311754,0.116,
ACC Y,25,joueur_03,match_20220807,MT1,-0.834297,0.507435,0.866238,2.21541,0.976495,1.74077,-1.2428,-1.04285,-0.922369,-0.797467,0.0639791,
ACC Z,25,joueur_03,match_20220807,MT1,-0.35257,0.26798,-1.20697,1.30356,0.442854,0.870356,-0.811148,-0.456628,-0.265169,-0.176111,-0.111417,
GYRO X,25,joueur_03,match_20220807,MT1,5.74395,25.3202,0.658991,9.9284,25.9635,70.9436,-18.4552,-5.06303,5.45069,16.2742,29.1786,
GYRO Y,25,joueur_03,match_20220807,MT1,4.56603,51.5888,0.195296,6.50129,51.7904,154.159,-45.1387,-14.6952,4.43934,23.8942,51.974,
GYRO Z,25,joueur_03,match_20220807,MT1,4.72933,27.706,0.287354,8.41163,28.1067,76.5467,-21.5297,-8.48651,4.28668,17.6935,31.1831,
NormeGradAcc,25,joueur_03,match_20220807,MT1,0.0191386,0.0261427,3.45688,14.8832,0.0323995,0.0706843,0.0027536,0.00527982,0.0108178,0.0215165,0.0394882,0.04791316526610644
NormeGradGyro,25,joueur_03,match_20220807,MT1,2.1515,2.67782,4.25289,27.6196,3.43506,7.00771,0.488378,0.821148,1.39514,2.31934,4.12134,
ACC X,30,joueur_03,match_20220807,MT1,-0.0652345,0.300602,-0.294906,17.9074,0.307599,0.892962,-0.373004,-0.199632,-0.0630861,0.0625466,0.235801,
